"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Registrar un usuario exitosamente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Consultar el saldo de una cuenta existente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Intentar registrar un usuario con datos incompletos","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Registrar un depósito en una cuenta existente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Intentar registrar un retiro mayor al saldo disponible","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Iniciar sesión exitosamente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","0","Consultar el tipo de cambio de EUR a USD","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Intentar iniciar sesión con credenciales incorrectas","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Consultar el saldo de una cuenta inexistente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Intentar consultar el tipo de cambio de una moneda inexistente","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Registrar un retiro exitoso","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Consultar el tipo de cambio de una moneda válida","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Intentar crear una cuenta sin datos válidos","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","1","Crear una cuenta exitosa","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
"","2","Actualizar información de usuario","","Fri Dec 13 02:30:21 UTC 2024","passed","Fri Dec 13 02:30:21 UTC 2024","","","",""
